               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.022542,            0.010078,            0.014962,             0.64022,             0.71341,             0.77695,             0.59948,            0.023918,           0.0038886,            0.019084,             0.00172,             0.00172,             0.00172
                 140,            0.023698,           0.0099612,            0.013688,             0.66554,             0.71933,             0.78398,             0.61114,            0.023749,           0.0039897,            0.018132,             0.00166,             0.00166,             0.00166
                 141,            0.023937,           0.0099166,            0.013872,             0.68945,             0.70283,             0.78033,             0.59281,             0.02373,            0.003873,            0.017672,              0.0016,              0.0016,              0.0016
                 142,            0.024274,            0.010429,            0.014356,             0.68071,             0.67109,             0.77395,              0.6047,            0.023571,           0.0038375,            0.017457,             0.00154,             0.00154,             0.00154
                 143,            0.021521,            0.009254,            0.013185,             0.69717,             0.67477,             0.76201,             0.59295,            0.023273,           0.0038424,            0.018991,             0.00148,             0.00148,             0.00148
                 144,            0.021964,           0.0096147,            0.013169,             0.65198,             0.77785,              0.7729,             0.59607,            0.023107,           0.0038947,            0.016881,             0.00142,             0.00142,             0.00142
                 145,            0.021816,           0.0095098,            0.012958,             0.70222,             0.72498,             0.77539,             0.60204,            0.022772,            0.003888,            0.016445,             0.00136,             0.00136,             0.00136
                 146,            0.022882,           0.0097238,            0.012604,              0.7082,               0.696,             0.77806,             0.60939,            0.022214,           0.0038674,             0.01753,              0.0013,              0.0013,              0.0013
                 147,            0.021629,            0.010109,             0.01257,             0.66091,             0.71645,             0.78116,             0.60762,            0.023013,           0.0038386,            0.018511,             0.00124,             0.00124,             0.00124
                 148,             0.02179,           0.0093526,              0.0139,             0.70249,             0.72002,             0.79784,             0.62453,            0.022791,            0.003839,            0.018447,             0.00118,             0.00118,             0.00118
                 149,            0.021727,           0.0091482,            0.013245,             0.70892,             0.69647,             0.78541,             0.61446,            0.023162,           0.0038698,            0.019307,             0.00112,             0.00112,             0.00112
